image_path,readable,width,height,channels,aspect_ratio,dtype,min_pixel,max_pixel,median_pixel,p01_pixel,p99_pixel,mean_pixel,std_pixel,pixel_entropy,unique_pixel_ratio,unique_pixel_count,dark_pixel_ratio,bright_pixel_ratio,edge_density,noise_estimate,background_ratio,border_dark_ratio,blur_score,contrast,clip_low_percent,clip_high_percent,nonzero_ratio,blank,quality_status,quality_flags,error,sha256,phash,dhash,image_id
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_006.png,True,1024,1024,1,1.0,uint8,0,241,110.0,1.0,209.0,108.14642715454102,56.508683487452984,7.462327354474688,0.91015625,233,0.01104736328125,0.0,0.012042999267578125,0.0,0.07913970947265625,0.30095703125,140.36186960023767,56.508683487452984,1.104736328125,0.0,0.9208602905273438,False,VALID,,,a70aec8fcf06642088d3aa4ae1d1a54c366fcbcd20aa13af4bdbf2b513575b9f,d93b560e2929393d,b090923232b0f0f0,00000250_006
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_007.png,True,1024,1024,1,1.0,uint8,5,234,157.0,9.0,230.0,151.39702987670898,54.81459646976311,7.430199940134656,0.8984375,230,0.0,0.0,0.01406097412109375,0.0,3.814697265625e-06,1.953125e-05,69.85082008909376,54.81459646976311,0.0,0.0,0.9999961853027344,False,VALID,,,861e85505e8f6edf53ea9d1c1d876dd684760538bcb162a99b1e55e95992fd86,d13a570a1a593b1f,b9909232b2f0e0e0,00000250_007
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_008.png,True,1024,1024,1,1.0,uint8,1,213,103.0,1.0,209.0,104.98559188842773,59.47177802937636,7.45471131413275,0.83203125,213,0.029872894287109375,0.0,0.007476806640625,0.0,0.09887313842773438,0.3649609375,37.33305887266761,59.47177802937636,2.9872894287109375,0.0,0.9011268615722656,False,VALID,,,acc2f7b5868a772b9a79dd1e7e8d04e0ec0756eb082100a0a0f51391a59dca71,817f061a696979e5,b2f09293b2f0f0f0,00000250_008
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_009.png,True,1024,1024,1,1.0,uint8,0,242,108.0,2.0,199.0,110.56965637207031,51.83302752974688,7.48247109094434,0.875,224,0.00299072265625,0.0,0.01067352294921875,0.0,0.038440704345703125,0.16580078125,126.84410652145743,51.83302752974688,0.299072265625,0.0,0.9615592956542969,False,VALID,,,a2b653cc05f8c3f244784eb372ccf3673e35149ef1e2b65de9ef1481c32f51d1,d13f56c24e4d6d48,b092b2b2f0f0f0f0,00000250_009
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_010.png,True,1024,1024,1,1.0,uint8,0,251,120.0,0.0,234.0,117.83258438110352,73.54062478708458,7.589525368609962,0.984375,252,0.0867919921875,0.0,0.03446197509765625,1.0,0.11777114868164062,0.38291015625,84.004911839962,73.54062478708458,8.67919921875,0.0,0.8822288513183594,False,REVIEW,CLIP_LOW,,ca1ba6f997806fa7ec5f1b3268f53012b74eee59c65756ca8ea6acd1f9813815,dc2c03531d4c4ffc,f2b6363232f0f0f0,00000250_010
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_011.png,True,1024,1024,1,1.0,uint8,0,244,126.0,0.0,234.0,121.30170059204102,72.80473706170567,7.6194354142763,0.95703125,245,0.08831024169921875,0.0,0.03155517578125,1.0,0.10218048095703125,0.38001953125,81.5686726020067,72.80473706170567,8.831024169921875,0.0,0.8978195190429688,False,REVIEW,CLIP_LOW,,376cc2a68f548b1d8af562dbacf7bea1e1cb06bc6e95adcb613567736201b742,dc2d02531f0c4f7d,f036333232f0f0f0,00000250_011
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_012.png,True,1024,1024,1,1.0,uint8,1,225,123.0,2.0,217.0,113.11626434326172,57.349708002151814,7.349300512765744,0.87890625,225,0.001220703125,0.0,0.013210296630859375,0.0,0.09717559814453125,0.38162109375,69.30651308990491,57.349708002151814,0.1220703125,0.0,0.9028244018554688,False,VALID,,,5d51d29faba8481e8bbb13d54e322d6427fb81d6cca07883b060a4d37190cfcb,997a46184d193daf,b0b0969292b2b2f0,00000250_012
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_013.png,True,1024,1024,1,1.0,uint8,0,255,110.0,1.0,213.0,110.20920944213867,55.91177862224579,7.565450192827522,0.984375,252,0.0223846435546875,0.00019073486328125,0.013446807861328125,1.0,0.048130035400390625,0.19216796875,239.20532716042362,55.91177862224579,2.23846435546875,0.019073486328125,0.9518699645996094,False,VALID,,,6d7347008ef50e914ba3347898b4ef19638f26450ea539ee9c60e9830fcac002,d43dc3c25b43435b,b43636b2b2f0f0f0,00000250_013
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_014.png,True,1024,1024,1,1.0,uint8,0,243,135.0,0.0,234.0,125.15897750854492,65.9891792909588,7.741171536753988,0.953125,244,0.0315704345703125,0.0,0.0244598388671875,1.0,0.05765533447265625,0.23119140625,91.39735732912959,65.9891792909588,3.15704345703125,0.0,0.9423446655273438,False,VALID,,,80d6cde8a9d9fb1ed6d2ad488eda0271286d3a08f71d65b800d663ee65886bf1,9d7c475a1b0c2f29,f0b2333333f0f0f0,00000250_014
C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\Chest_XRay_Dataset\xray_images\00000250_015.png,True,1024,1024,1,1.0,uint8,0,251,121.0,0.0,233.0,117.66646957397461,70.52113094417926,7.583833770432177,0.984375,252,0.08311843872070312,0.0,0.024200439453125,1.0,0.08834075927734375,0.39423828125,102.9622819841461,70.52113094417926,8.311843872070312,0.0,0.9116592407226562,False,REVIEW,CLIP_LOW,,ca9f56a6351696c69766652582382ba752418371a0714f1096e9a1b767c029e2,d13946461e5a4f1f,f09233b2b2f0f0f0,00000250_015
