duplicate_type,hamming_distance,image_id_a,image_path_a,image_id_b,image_path_b
NEAR_DUPLICATE,6,00012094_022,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00012094_022.png,00028210_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00028210_000.png
NEAR_DUPLICATE,6,00015940_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00015940_002.png,00029105_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00029105_001.png
NEAR_DUPLICATE,6,00015031_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00015031_000.png,00027725_059,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00027725_059.png
NEAR_DUPLICATE,2,00016579_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00016579_000.png,00018142_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00018142_002.png
NEAR_DUPLICATE,6,00004579_004,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00004579_004.png,00012132_003,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00012132_003.png
NEAR_DUPLICATE,6,00008522_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00008522_002.png,00019873_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00019873_001.png
NEAR_DUPLICATE,6,00011669_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00011669_001.png,00019092_013,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00019092_013.png
NEAR_DUPLICATE,6,00011669_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00011669_001.png,00022766_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00022766_000.png
NEAR_DUPLICATE,6,00012132_003,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00012132_003.png,00017719_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00017719_002.png
NEAR_DUPLICATE,6,00016332_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00016332_002.png,00019873_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00019873_001.png
NEAR_DUPLICATE,6,00016736_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00016736_001.png,00017719_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00017719_002.png
NEAR_DUPLICATE,6,00017153_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00017153_000.png,00028544_014,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00028544_014.png
NEAR_DUPLICATE,6,00022766_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00022766_000.png,00026773_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00026773_000.png
NEAR_DUPLICATE,6,00000181_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00000181_001.png,00009248_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00009248_000.png
NEAR_DUPLICATE,6,00006642_014,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00006642_014.png,00019176_089,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00019176_089.png
NEAR_DUPLICATE,6,00007075_001,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00007075_001.png,00020558_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00020558_000.png
NEAR_DUPLICATE,6,00009248_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00009248_000.png,00012132_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00012132_002.png
NEAR_DUPLICATE,6,00009248_000,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00009248_000.png,00020983_002,C:\Users\manik\Downloads\Medical Image Annotation & Dataset Quality Pipeline\data\nih_sample\raw\images\00020983_002.png
