image_id,feature_cluster
00000013_005,3
00000013_026,3
00000017_001,2
00000030_001,0
00000032_001,2
00000040_003,2
00000042_002,3
00000057_001,3
00000061_002,5
00000061_019,3
00000061_025,3
00000079_000,2
00000080_005,4
00000083_000,2
00000084_000,0
00000096_006,0
00000099_003,7
00000099_006,6
00000103_001,0
00000116_013,3
00000116_019,2
00000116_032,2
00000116_040,2
00000118_011,0
00000121_004,3
00000127_007,3
00000132_002,5
00000154_001,0
00000165_008,0
00000175_001,3
00000175_002,2
00000181_001,2
00000181_017,3
00000181_035,2
00000188_001,0
00000194_004,0
00000206_000,2
00000231_005,0
00000232_000,5
00000239_003,0
00000242_000,5
00000243_001,2
00000246_003,3
00000246_004,3
00000246_011,5
00000246_016,2
00000246_018,5
00000248_020,3
00000250_005,2
00000251_000,2
00000265_004,0
00000268_001,3
00000269_001,2
00000272_003,0
00000276_000,5
00000277_002,0
00000278_000,2
00000289_001,4
00000318_004,2
00000324_001,0
00000334_005,0
00000359_002,0
00000359_006,0
00000360_008,5
00000362_001,0
00000370_003,2
00000372_002,2
00000376_007,2
00000390_000,2
00000415_002,3
00000417_001,3
00000422_003,5
00000422_005,0
00000432_000,2
00000439_000,0
00000443_000,0
00000444_001,3
00000450_001,3
00000459_004,3
00000459_037,2
00000467_013,3
00000468_005,5
00000468_007,6
00000468_015,2
00000468_045,2
00000473_000,0
00000479_000,0
00000490_000,0
00000491_004,6
00000508_000,2
00000521_000,2
00000524_001,2
00000531_001,0
00000531_003,2
00000531_005,0
00000545_000,0
00000545_004,2
00000549_002,0
00000549_003,0
00000554_000,7
00000556_000,0
00000569_005,0
00000580_001,4
00000580_007,0
00000583_016,2
00000598_000,5
00000599_000,6
00000612_000,2
00000618_007,3
00000621_011,5
00000623_009,0
00000627_010,2
00000627_017,2
00000627_033,2
00000627_036,5
00000632_011,0
00000632_012,0
00000634_008,0
00000642_000,0
00000643_001,3
00000649_000,2
00000652_005,0
00000662_001,0
00000676_003,0
00000682_001,0
00000709_000,3
00000727_002,0
00000727_004,3
00000733_003,5
00000737_000,0
00000742_000,2
00000743_003,0
00000744_003,2
00000751_000,5
00000758_000,2
00000764_000,2
00000766_002,2
00000779_001,2
00000781_006,0
00000790_000,0
00000797_004,3
00000805_001,4
00000807_000,2
00000809_001,2
00000814_005,5
00000816_000,2
00000820_003,2
00000832_005,2
00000835_000,5
00000861_002,5
00000865_004,3
00000869_006,0
00000872_006,0
00000877_017,2
00000877_023,3
00000882_005,2
00000887_003,4
00000901_003,0
00000906_000,2
00000910_000,0
00000915_004,2
00000938_004,3
00000946_000,3
00000954_005,2
00000957_000,2
00000957_001,5
00000963_011,3
00000974_002,5
00000974_008,0
00000981_002,0
00000996_001,0
00000996_002,4
00000997_000,2
00000997_004,2
00001006_002,5
00001006_012,5
00001006_026,3
00001006_028,0
00001018_000,0
00001034_004,3
00001043_004,5
00001045_003,3
00001045_004,3
00001047_002,0
